# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
xie wen dang 	寫文檔	c=1 d=1 t=1783
xie xia 	寫下	c=3 d=1.99501 t=15624
xie xie 	謝謝	c=1 d=1 t=2204
xie yi 	協議	c=1 d=1 t=17392
xie zuo 	寫作	c=1 d=1 t=9170
xin 	心	c=1 d=1 t=17241
xin 	新	c=15 d=1 t=17303
xin 	欣	c=1 d=1 t=9144
xin ban 	新版	c=3 d=0.1 t=12859
xin ban ba 	新版把	c=1 d=1 t=12860
xin fan shi 	新範式	c=1 d=1 t=6702
xin fang fa 	新方法	c=1 d=1 t=12590
xin feng 	信奉	c=1 d=1 t=385
xin hao 	信號	c=12 d=3.18112 t=7483
xin hao liang 	信號量	c=1 d=1 t=2361
xin hao xiang guan 	信號相關	c=1 d=1 t=2358
xin hua zi dian 	新華字典	c=1 d=1 t=10103
xin li 	心理	c=1 d=1 t=339
xin li 	心裏	c=10 d=1.00008 t=16903
xin men 	囟門	c=1 d=1 t=2208
xin nian 	信念	c=1 d=1 t=13732
xin nian 	新年	c=2 d=1 t=13730
xin pian 	芯片	c=2 d=1.73345 t=9887
xin qing 	心情	c=1 d=1 t=136
xin ren 	信任	c=1 d=1 t=3140
xin shi jiao 	新視角	c=4 d=2.8376 t=8276
xin shu 	新書	c=0 d=0.1 t=6464
xin shu ju ji 	新書聚集	c=1 d=1 t=6465
xin si lu 	新思路	c=1 d=1 t=6455
xin tai 	心態	c=3 d=1.86936 t=13416
xin xi 	信息	c=59 d=1.149 t=17414
xin xi 	欣喜	c=1 d=1 t=13332
xin xian 	新鮮	c=1 d=1 t=13295
xin xin 	信心	c=2 d=1 t=13741
xin yong 	信用	c=1 d=1 t=17012
xin zhong 	信中	c=1 d=1 t=536
xin zhong 	心中	c=3 d=1 t=13324
xing 	型	c=0 d=0.141686 t=5274
xing 	性	c=8 d=1.74078 t=16408
xing 	行	c=2 d=1 t=3585
xing bian 	形變	c=1 d=0.890571 t=4650
xing bian chang 	形變場	c=1 d=1 t=4651
xing bie 	性別	c=2 d=1.99005 t=15482
xing cheng 	形成	c=2 d=1.03371 t=14161
xing fu gan 	幸福感	c=1 d=1 t=13772
xing ge 	性格	c=1 d=1 t=14179
xing hao 	型號	c=1 d=1 t=1121
xing ming 	姓名	c=1 d=1 t=10079
xing neng 	性能	c=21 d=2.60711 t=12933
xing qu 	興趣	c=1 d=1 t=12997
xing ren 	行人	c=12 d=7.34547 t=6564
xing shi 	形式	c=3 d=1.92382 t=10120
xing shi 	行使	c=1 d=1 t=17102
xing shi hua 	形式化	c=1 d=1 t=7668
xing shi shang 	形式上	c=1 d=1 t=10095
xing shi shang nian 	形式上年	c=1 d=1 t=10087
xing tang 	行唐	c=1 d=1 t=2094
xing tong 	形同	c=1 d=1 t=2390
xing wei 	行爲	c=15 d=1 t=17047
xing wen 	行文	c=2 d=1.80654 t=6530
xing xing 	星星	c=1 d=1 t=15766
xing zhi 	行之	c=1 d=1 t=615
xing zhuang 	形狀	c=4 d=2.70869 t=4523
xiong gao 	胸高	c=1 d=1 t=2057
xiong qian 	胸前	c=1 d=1 t=2051
xiong wei 	胸圍	c=1 d=1 t=2062
xiong zhong 	胸中	c=1 d=1 t=10215
xiu 	修	c=2 d=1.98511 t=5919
xiu gai 	修改	c=9 d=1.34827 t=16360
xiu shi 	修飾	c=2 d=1.9802 t=1446
xiu yang 	修養	c=1 d=1 t=743
xiu zheng 	修正	c=1 d=1 t=591
xu 	需	c=0 d=0.1 t=1306
xu duo 	許多	c=28 d=3.62634 t=16695
xu jiu 	許久	c=3 d=1 t=15704
xu lian 	需連	c=1 d=1 t=6721
xu lie 	序列	c=2 d=1 t=9034
xu mu 	序幕	c=0 d=0.1 t=2030
xu mu 	畜牧	c=1 d=1 t=2034
xu mu ye 	畜牧業	c=2 d=1.0007 t=15504
xu ni 	虛擬	c=4 d=0.100001 t=5397
xu ni biao 	虛擬表	c=2 d=1.86936 t=5426
xu qiu 	需求	c=4 d=1 t=14061
xu shan 	恤衫	c=0 d=0.1 t=9049
xu shan shi 	恤衫是	c=1 d=1 t=9050
xu tie chu 	需貼出	c=1 d=1 t=1307
xu yao 	需要	c=93 d=2.56247 t=16849
xu yao zhi 	需要值	c=1 d=1 t=9513
xuan ding 	選定	c=1 d=1 t=8078
xuan jian 	軒檻	c=1 d=1 t=3820
xuan ran 	渲染	c=32 d=1 t=15899
xuan ren 	選人	c=1 d=1 t=7225
xuan xian 	弦線	c=1 d=1 t=12367
xuan xiang 	選項	c=2 d=1.00011 t=14191
xuan xiao 	喧囂	c=1 d=1 t=14696
xuan xing 	選型	c=1 d=1 t=16894
xuan ze 	選擇	c=18 d=1.11584 t=15666
xuan ze ti 	選擇題	c=1 d=1 t=10603
xuan zhen 	懸針	c=1 d=1 t=1077
xuan zhuan 	旋轉	c=4 d=1 t=14064
xuan zhuang 	選裝	c=1 d=1 t=1050
xue 	學	c=2 d=1.01935 t=12807
xue che 	學車	c=1 d=1 t=9636
xue chu 	削除	c=0 d=0.1 t=12805
xue chu lai 	削除來	c=1 d=1 t=12806
xue dao 	學到	c=1 d=1 t=12212
xue fen 	學分	c=1 d=1 t=15888
xue hui 	學會	c=1 d=1 t=10504
xue ke 	學科	c=1 d=1 t=10132
xue rou 	血肉	c=1 d=1 t=17236
xue sheng 	學生	c=1 d=1 t=344
xue shu 	學術	c=3 d=1.00032 t=15919
xue wu ya 	學無涯	c=1 d=1 t=10174
xue xi 	學習	c=97 d=1.10829 t=15962
xue xiao 	學校	c=3 d=1.00052 t=16874
xue ye 	血液	c=1 d=1 t=9701
xue yuan 	學院	c=1 d=1 t=15876
xun huan 	循環	c=1 d=0.1 t=5932
xun jian 	巡檢	c=1 d=1 t=6749
xun lian 	訓練	c=23 d=1.00282 t=15302
xun lian hou 	訓練後	c=1 d=1 t=12497
xun lian ji 	訓練集	c=3 d=1.00002 t=16279
xun lian jie duan 	訓練階段	c=1 d=1 t=7916
xun lian shi 	訓練師	c=1 d=1 t=8061
xun ran 	薰染	c=1 d=1 t=6807
xun shi 	巡視	c=3 d=2.0008 t=17346
xun zhao 	尋找	c=5 d=1.72253 t=13543
ya 	呀	c=1 d=1 t=2217
ya hu 	雅虎	c=0 d=0.1 t=1499
ya li 	壓力	c=2 d=1.97045 t=15932
ya suo 	壓縮	c=5 d=1.97543 t=16759
ya suo lv 	壓縮率	c=2 d=1.00098 t=16756
ya zhan 	壓棧	c=2 d=1 t=11688
ya zhen 	壓陣	c=1 d=1 t=11687
ya zhi 	壓制	c=1 d=1 t=288
ya zi 	鴨子	c=1 d=1 t=15726
yan 	彥	c=5 d=1.98093 t=15942
yan 	研	c=2 d=1 t=15949
yan di 	眼底	c=1 d=1 t=15688
yan gai 	掩蓋	c=2 d=1.94649 t=13653
yan ge 	嚴格	c=1 d=1 t=17183
yan huo 	煙火	c=1 d=1 t=15535
yan jiu 	研究	c=14 d=1.16455 t=17233
yan jiu sheng 	研究生	c=1 d=1 t=17084
yan jue 	簷角	c=1 d=1 t=12965
yan ke 	嚴苛	c=1 d=1 t=14746
yan mo 	掩膜	c=1 d=1 t=2341
yan mo 	淹沒	c=2 d=1.98511 t=13597
yan se 	顏色	c=13 d=1.93239 t=15909
yan shi 	演示	c=1 d=1 t=15339
yan shuo 	演說	c=1 d=1 t=17317
yan xu 	延續	c=1 d=1 t=217
yan yan 	炎炎	c=1 d=1 t=13819
yan yi 	演繹	c=1 d=1 t=8420
yan yuan biao 	演員表	c=1 d=1 t=5017
yan zhe 	沿着	c=10 d=1.0001 t=11253
yan zheng 	驗證	c=1 d=1 t=4228
yan zhong 	嚴重	c=4 d=1.55156 t=17260
yan zhong 	眼中	c=1 d=1 t=13307
yang 	樣	c=1 d=1 t=15586
yang 	羊	c=15 d=1.09721 t=16790
yang ben 	樣本	c=21 d=1.04557 t=16112
yang ben dian 	樣本點	c=2 d=1.74826 t=4865
yang chang 	揚長	c=2 d=1 t=15340
yang chang 	羊場	c=5 d=2.97047 t=17037
yang guang 	陽光	c=2 d=1 t=14739
yang li 	樣例	c=1 d=1 t=11955
yang rong 	羊絨	c=1 d=1 t=15484
yang ti 	羊體	c=4 d=1.89583 t=16974
yang tian da xiao 	仰天大笑	c=1 d=1 t=14902
yang xian 	陽線	c=1 d=1 t=4817
yang yang 	洋洋	c=1 d=1 t=15162
yang yang 	養羊	c=4 d=3.53316 t=15208
yang zhen 	癢疹	c=2 d=1.83613 t=4864
yang zhen dian 	癢疹點	c=1 d=1 t=4863
yang zhi 	楊職	c=3 d=1.94641 t=16949
yang zhi 	羊只	c=11 d=4.29945 t=17046
yang zhi 	養殖	c=5 d=1.15744 t=16283
yang zhi ye 	養殖業	c=1 d=1 t=15512
yang zi 	樣子	c=1 d=1 t=14578
yao 	窯	c=1 d=1 t=16879
yao 	要	c=43 d=1.00102 t=17297
yao du 	要讀	c=1 d=1 t=15831
yao gan 	腰桿	c=1 d=1 t=694
yao he 	要和	c=1 d=1 t=8117
yao jian ju 	藥監局	c=1 d=1 t=17021
yao kan 	要看	c=1 d=1 t=15400
yao qiu 	要求	c=4 d=1.99501 t=17268
yao qu 	要去	c=1 d=1 t=1724
yao xue 	要學	c=1 d=1 t=13808
yao yan 	謠言	c=1 d=1 t=6052
yao you 	要有	c=4 d=1 t=10558
yao zai 	要在	c=1 d=1 t=14717
ye 	也	c=38 d=0.934324 t=15700
ye 	業	c=1 d=1 t=15177
ye 	液	c=4 d=1.72436 t=2708
ye 	野	c=2 d=1 t=15439
ye 	頁	c=3 d=1.00314 t=4121
ye ba 	也罷	c=2 d=1 t=14688
ye biao 	葉表	c=2 d=1.42105 t=2639
ye biao 	頁表	c=8 d=4.71344 t=2863
ye bing 	葉柄	c=1 d=1 t=16710
ye bu 	也不	c=0 d=0.1 t=15384
ye bu tong 	也不同	c=1 d=1 t=13581
ye bu xing 	也不行	c=2 d=1.04689 t=15002
ye bu zhao ji 	也不着急	c=1 d=1 t=15385
ye cheng 	也稱	c=0 d=0.1 t=9517
ye cheng li 	也成立	c=1 d=1 t=15701
ye cheng wei 	也稱爲	c=1 d=1 t=9518
ye ge 	野葛	c=1 d=1 t=141
ye hao 	也好	c=5 d=1 t=14686
ye jian 	夜間	c=4 d=3.84957 t=6558
ye jiu 	也就	c=3 d=1.00001 t=11868
ye jiu shi 	也就是	c=2 d=1.03544 t=7574
ye ke yi 	也可以	c=5 d=1.00114 t=10164
ye ke yi shi 	也可以是	c=1 d=1 t=9218
ye mei 	也沒	c=1 d=1 t=15677
ye mian 	頁面	c=7 d=2.58268 t=2998
ye neng 	也能	c=1 d=1 t=12639
ye shi 	也是	c=13 d=1.00746 t=15995
ye si 	也似	c=0 d=0.1 t=1090
ye wu 	業務	c=1 d=1 t=13855
ye xiang 	也想	c=1 d=1 t=328
ye xu 	也許	c=4 d=1.00494 t=8387
ye yao 	也要	c=2 d=1.87372 t=6025
ye yao kan 	也要看	c=1 d=1 t=15403
ye yao you 	也要有	c=1 d=1 t=3096
ye yong 	也用	c=1 d=1 t=1511
ye you 	也有	c=5 d=1 t=16711
yi 	以	c=11 d=1 t=17160
yi 	已	c=1 d=1 t=6635
yi 	意	c=0 d=0.1 t=14557
yi 	易	c=1 d=1 t=14177
yi ba shou 	一把手	c=1 d=1 t=17288
yi ban 	一般	c=6 d=1 t=10104
yi ben 	一本	c=5 d=1.90484 t=13190
yi bian 	一遍	c=4 d=1 t=14939
yi bo 	一波	c=0 d=0.1 t=14846
yi bo ren 	一波人	c=1 d=1 t=14847
yi bu 	一部	c=1 d=1 t=5148
yi bu 	異步	c=1 d=1 t=5151
yi bu fen 	一部分	c=7 d=1 t=16736
yi ce 	一側	c=1 d=1 t=16801
yi ce 	一策	c=1 d=1 t=10217
yi chang 	異常	c=17 d=1 t=15977
yi cheng wei 	已成爲	c=1 d=1 t=14576
yi chu 	移除	c=1 d=1 t=1328
yi chuan 	遺傳	c=4 d=3.02588 t=9814
yi chuan suan fa 	遺傳算法	c=1 d=1 t=9794
yi ci 	一次	c=4 d=1 t=16083
yi ci 	依次	c=2 d=1.00007 t=11005
yi dan 	一旦	c=2 d=1.90484 t=16026
yi dian 	一點	c=5 d=2.12443 t=13052
yi dian dian 	一點點	c=8 d=1.00411 t=15761
yi dian yi dian 	一點一點	c=1 d=1 t=10506
yi ding 	一定	c=16 d=4.32536 t=14012
yi dong 	移動	c=1 d=1.06376 t=3291
yi duan 	一段	c=4 d=1.11884 t=14496
yi er 	一二	c=1 d=1 t=3356
yi fa song 	已發送	c=1 d=1 t=8418
yi fang mian 	一方面	c=9 d=1.98038 t=14505
yi ge 	一個	c=108 d=2.94547 t=16932
yi ge gao wei 	一個高維	c=1 d=1 t=7883
yi ge yue 	一個月	c=2 d=1.00007 t=17321
yi ge zi 	一個字	c=2 d=1 t=13238
yi guan 	一貫	c=1 d=1 t=614
yi han 	遺憾	c=1 d=1 t=17437
yi hang 	一行	c=1 d=1 t=14069
yi hou 	以後	c=3 d=1 t=11871
yi ji 	一級	c=1 d=0.1 t=14567
yi ji 	以及	c=2 d=1 t=10688
yi ji yi ji 	一級一級	c=1 d=1 t=14568
yi jian 	意見	c=6 d=1.02054 t=16126
yi jian shi qing 	一件事情	c=1 d=1 t=5864
yi jie 	一屆	c=0 d=0.1 t=14561
yi jie yi jie 	一屆一屆	c=2 d=1.98511 t=14565
yi jing 	已經	c=10 d=1.132 t=15357
yi ju 	一句	c=4 d=1.25983 t=17125
yi ju hua 	一句話	c=1 d=1 t=697
yi ju huan 	一句換	c=1 d=1 t=14625
yi ke 	一顆	c=1 d=1 t=14680
yi ke shu 	一棵樹	c=1 d=1 t=14767
yi kou qi 	一口氣	c=1 d=1 t=15386
yi kuai 	一塊	c=1 d=1 t=2746
yi lai 	以來	c=1 d=1 t=858
yi lai 	依賴	c=5 d=1.00039 t=12695
yi mian 	一面	c=1 d=1 t=14673
yi miao 	疫苗	c=1 d=1 t=15464
yi nian 	一年	c=8 d=1 t=15402
yi pian 	一篇	c=3 d=1 t=15541
yi qi 	一起	c=6 d=1.00058 t=14839
yi qian 	以前	c=1 d=1 t=13183
yi qie 	一切	c=3 d=1 t=9548
yi qing 	疫情	c=4 d=1 t=14435
yi ri san can 	一日三餐	c=1 d=1 t=15654
yi shang 	以上	c=2 d=1 t=15980
yi sheng 	一生	c=1 d=1 t=10461
yi shi 	一是	c=1 d=1 t=16265
yi shi 	意識	c=3 d=1.91851 t=5879
yi shi dao 	意識到	c=1 d=1 t=573
yi song 	移送	c=1 d=1 t=17378
yi tian 	一天	c=6 d=2.72664 t=13062
yi tian yi tian 	一天一天	c=1 d=1 t=14777
yi tiao 	一條	c=1 d=0.514783 t=13609
yi tu 	意圖	c=1 d=1 t=5648
yi wang 	以往	c=2 d=1.98511 t=11928
yi wang 	遺忘	c=1 d=1 t=11930
yi wei 	一位	c=2 d=1.25411 t=14814
yi wei 	以爲	c=4 d=1.01782 t=15770
yi wei zhe 	意味着	c=1 d=1 t=6872
yi wen 	疑問	c=1 d=1 t=16228
yi xi lie 	一系列	c=1 d=1 t=10617
yi xia 	一下	c=14 d=1.97479 t=15102
yi xia 	以下	c=2 d=1.67032 t=3258
yi xiang 	一項	c=0 d=0.099005 t=746
yi xiang xiang 	一項項	c=1 d=0.995012 t=746
yi xie 	一些	c=30 d=1.00468 t=16937
yi yang 	一樣	c=6 d=1.46904 t=10309
yi yi 	意義	c=7 d=3.52072 t=15513
yi you 	已有	c=3 d=1.97531 t=8900
yi yuan 	醫院	c=2 d=1 t=14105
yi yuan lun 	一元論	c=1 d=1 t=10234
yi yue 	一月	c=2 d=1.99005 t=81
yi zhan 	一戰	c=1 d=1 t=560
yi zhang 	一章	c=1 d=1 t=5340
yi zhen 	一幀	c=3 d=1 t=7252
yi zhi 	一直	c=4 d=1 t=14888
yi zhi 	一致	c=3 d=1.07076 t=12221
yi zhi 	已知	c=1 d=1 t=8060
yi zhi 	抑制	c=4 d=1 t=10611
yi zhi 	移植	c=2 d=1 t=14423
yi zhi xing 	一致性	c=2 d=1.01657 t=6545
yi zhi yu 	以至於	c=1 d=1 t=3844
yi zhong 	一種	c=11 d=1.00001 t=15979
yi zhou 	一週	c=2 d=1.99005 t=76
yi zi 	一字	c=0 d=0.1 t=13228
yi zi yi zi 	一字一字	c=1 d=1 t=13229
yi zu 	一組	c=3 d=1 t=13666
yin 	引	c=2 d=1 t=10468
yin 	隱	c=0 d=0.1 t=16995
yin cang 	隱藏	c=0 d=0.1 t=1641
yin cang ceng 	隱藏層	c=1 d=1 t=1642
yin chu 	引出	c=3 d=1.9875 t=6328
yin ci 	因此	c=20 d=1.97844 t=16667
yin dao 	引導	c=1 d=0.1 t=11995
yin dao kuai 	引導塊	c=1 d=1 t=2941
yin dao xia 	引導下	c=1 d=1 t=11996
yin guo 	因果	c=3 d=2.9415 t=15083
yin jin 	引進	c=1 d=1 t=14259
yin ni 	隱匿	c=1 d=1 t=17248
yin pin 	音頻	c=3 d=1.09785 t=14987
yin qing 	陰晴	c=0 d=0.1 t=14686
yin qing yu xue 	陰晴雨雪	c=1 d=1 t=14687
yin ru 	引入	c=5 d=1 t=16533
yin ru chen yan 	隱入塵煙	c=1 d=1 t=16996
yin she 	銀蛇	c=1 d=1 t=657
yin shi 	隱式	c=5 d=1.00385 t=5453
yin shi 	飲食	c=9 d=3.89775 t=4174
yin si 	隱私	c=1 d=1 t=7988
yin su 	因素	c=1 d=1 t=16263
yin wei 	因爲	c=13 d=2.14528 t=14942
yin xi 	音系	c=1 d=1 t=4562
yin xiang 	印象	c=1 d=1 t=13356
yin yan 	引言	c=1 d=1 t=16131
yin yang 	陰陽	c=1 d=1 t=460
yin yong 	引用	c=6 d=1.02282 t=15839
yin zi 	因子	c=0 d=0.1 t=15242
ying 	應	c=0 d=0.1 t=4437
ying 	硬	c=1 d=1 t=4439
ying bi 	硬幣	c=1 d=1 t=498
ying bian jie 	應邊界	c=1 d=1 t=4438
ying dang 	應當	c=2 d=1.66365 t=17334
ying gai 	應該	c=8 d=1.00844 t=16687
ying jian 	硬件	c=1 d=1 t=13621
ying pan 	硬盤	c=1 d=1 t=2886
ying she 	映射	c=5 d=1 t=16967
ying she dao 	映射到	c=1 d=1 t=11131
ying shi 	應是	c=1 d=1 t=439
ying shi 	螢石	c=0 d=0.1 t=16461
ying shi yun 	螢石雲	c=1 d=1 t=16462
ying wen 	英文	c=4 d=1.20909 t=14533
ying xiang 	影響	c=6 d=1.90998 t=16292
ying xiang yin zi 	影響因子	c=1 d=1 t=15243
ying ye 	營業	c=1 d=1 t=16782
ying ying 	盈盈	c=1 d=1 t=8100
ying yong 	應用	c=25 d=1.20874 t=15514
ying yong dao 	應用到	c=1 d=1 t=11104
ying yu 	英語	c=2 d=1.90032 t=2139
yong 	永	c=1 d=1 t=15218
yong 	用	c=10 d=1 t=15450
yong bu 	永不	c=0 d=0.1 t=12343
yong bu fan hui 	永不返回	c=1 d=1 t=12344
yong ci 	用詞	c=1 d=1 t=9720
yong dao 	用到	c=0 d=0.1 t=4288
yong dao le 	用到了	c=1 d=1 t=4289
yong hu 	用戶	c=9 d=1.37606 t=16776
yong huan de 	用換得	c=1 d=1 t=2413
yong lai 	用來	c=7 d=1.04285 t=7366
yong qi 	勇氣	c=1 d=1 t=10319
yong quan 	用權	c=1 d=1 t=17372
yong you 	擁有	c=1 d=1 t=465
yong yu 	用於	c=6 d=1.73764 t=5658
yong yuan 	永遠	c=1 d=1 t=564
you 	優	c=1 d=1 t=16969
you 	又	c=8 d=1.01026 t=9234
you 	有	c=55 d=1.7697 t=16931
you 	由	c=21 d=1.05897 t=12973
you bi yao 	有必要	c=1 d=1 t=9956
you dai 	有待	c=1 d=1 t=14029
you dian 	有點	c=3 d=1.00894 t=14480
you dian lao 	有點老	c=1 d=1 t=3506
you dian shao 	有點少	c=2 d=1.63128 t=6082
you guan 	有關	c=2 d=1 t=17276
you guan xi 	有關係	c=2 d=1 t=15432
you hao 	友好	c=1 d=1 t=14150
you he 	有何	c=1 d=1 t=5925
you hua 	優化	c=27 d=1 t=16978
you hua fang fa 	優化方法	c=1 d=1 t=6281
you jian 	郵件	c=2 d=1.34646 t=16781
you le 	有了	c=6 d=1.01287 t=16027
you li 	有力	c=1 d=1 t=15632
you li 	遊離	c=1 d=1 t=17176
you liang ge 	有兩個	c=1 d=1 t=16264
you neng li 	有能力	c=3 d=2.26565 t=3943
you qi shi 	尤其是	c=3 d=1 t=16730
you qian 	有錢	c=1 d=1 t=5341
you qian ru shen 	由淺入深	c=1 d=1 t=5343
you qu 	有趣	c=1 d=1 t=14787
you ren 	有人	c=1 d=1 t=11699
you shen me 	有什麼	c=1 d=1 t=11971
you shi 	優勢	c=2 d=1 t=7054
you shi 	有時	c=3 d=1 t=13081
you shi hou 	有時候	c=3 d=1 t=15517
you shi jian 	有時間	c=2 d=1.9802 t=13793
you suo 	有所	c=2 d=1 t=14909
you wei 	有味	c=1 d=1 t=15545
you wen ti 	有問題	c=1 d=1 t=119
you wu 	有無	c=1 d=1 t=856
you xi 	遊戲	c=1 d=1 t=874
you xia jiao 	右下角	c=1 d=1 t=15155
you xian 	有限	c=2 d=1.10177 t=7503
you xiang 	有向	c=2 d=1.89137 t=1082
you xiang 	郵箱	c=5 d=1.03195 t=3184
you xiao 	有效	c=8 d=1.22313 t=17412
you xie 	有些	c=5 d=1.0006 t=16743
you xie re 	有些熱	c=1 d=1 t=15721
you xu 	有序	c=1 d=1 t=14341
you xu duo 	有許多	c=1 d=1 t=3057
you ya 	優雅	c=1 d=1 t=4396
you yi dian 	有一點	c=1 d=1 t=11222
you yi si 	有意思	c=6 d=1.94354 t=8958
you yi xie 	有一些	c=1 d=1 t=11964
you you 	又有	c=2 d=1 t=15553
you zhe 	有着	c=1 d=1 t=13389
yu 	域	c=8 d=0.31902 t=2046
yu 	於	c=21 d=1 t=16421
yu 	與	c=9 d=2.07206 t=16870
yu 	雨	c=1 d=1 t=15093
yu 	預	c=0 d=0.1 t=1773
yu ce 	預測	c=41 d=1.00003 t=16239
yu ce fang fa 	預測方法	c=1 d=1 t=3264
yu ce tou 	預測頭	c=1 d=1 t=14205
yu dao 	遇到	c=1 d=1 t=14634
yu fa 	語法	c=2 d=1.00004 t=17002
yu gu 	預估	c=0 d=0.1 t=12998
yu gu zhi 	預估值	c=1 d=1 t=12999
yu jian 	遇見	c=2 d=1.99005 t=16768
yu ju 	語句	c=3 d=1 t=9710
yu le 	娛樂	c=1 d=1 t=13107
yu ming 	域名	c=5 d=2.0421 t=17406
yu pan 	玉盤	c=1 d=1 t=5045
yu pan 	預判	c=1 d=1 t=5047
yu qi 	預期	c=1 d=1 t=5044
yu qian yi 	域遷移	c=1 d=1 t=2047
yu se 	於色	c=1 d=1 t=10725
yu shi ju jin 	與時俱進	c=1 d=1 t=13757
yu wen ke 	語文課	c=0 d=0.1 t=9163
yu wen ke shang 	語文課上	c=1 d=1 t=9164
yu xian 	預先	c=1 d=1 t=13975
yu xian 	餘弦	c=1 d=1 t=12994
yu xue 	雨雪	c=0 d=0.1 t=14686
yu xun 	漁汛	c=0 d=0.101105 t=1769
yu xun lai mai 	漁汛來買	c=1 d=1 t=1770
yu xun lian 	域訓練	c=1 d=1 t=872
yu xun lian 	預訓練	c=4 d=2.49896 t=8441
yu xun liao 	漁汛聊	c=1 d=1 t=869
yu yan 	語言	c=16 d=3.77055 t=13821
yu yi 	予以	c=2 d=1 t=17264
yu yi 	語義	c=10 d=1.23812 t=17262
yu yi ding yi 	語義定義	c=1 d=1 t=10100
yuan 	元	c=2 d=0.139955 t=6213
yuan 	源	c=1 d=1 t=15844
yuan 	願	c=1 d=1 t=14905
yuan cheng 	遠程	c=1 d=1 t=16464
yuan dai ma 	源代碼	c=1 d=1 t=15862
yuan dian 	源點	c=3 d=1.44264 t=7838
yuan lai 	原來	c=3 d=1 t=15594
yuan li 	原理	c=2 d=1.06173 t=4913
yuan li 	遠離	c=2 d=1.09851 t=13805
yuan liang 	原諒	c=1 d=1 t=15737
yuan ma 	源碼	c=2 d=1.96079 t=2299
yuan sheng 	原聲	c=1 d=1 t=16041
yuan shi 	原始	c=19 d=1.01717 t=16987
yuan shi mi ma 	原始密碼	c=1 d=1 t=8413
yuan shi wen dang 	原始文檔	c=1 d=1 t=1878
yuan shu ju 	元數據	c=1 d=1 t=2949
yuan su 	元素	c=1 d=1 t=4983
yuan suan 	元算	c=1 d=1 t=11993
yuan wen 	原文	c=1 d=1 t=9308
yuan xing 	原型	c=3 d=2.90727 t=1117
yuan xue xi 	元學習	c=1 d=1 t=6214
yuan yi 	願意	c=1 d=1 t=312
yuan yin 	原因	c=3 d=1 t=16690
yuan yin shi 	原因是	c=1 d=1 t=16653
yuan yuan 	遠遠	c=1 d=0.1 t=14406
yuan yuan xiao yu 	遠遠小於	c=1 d=1 t=14407
yuan ze 	原則	c=4 d=1.99501 t=17258
yuan zi 	原子	c=1 d=1 t=1515
yuan zi li 	院子裏	c=1 d=1 t=13343
yuan zu 	元組	c=1 d=1 t=5278
yuan zu 	遠足	c=1 d=1 t=5271
yue 	約	c=2 d=1.9802 t=16812
yue 	越	c=0 d=0.1 t=7585
yue du 	閱讀	c=4 d=1.00846 t=13232
yue du yong 	閱讀用	c=1 d=1 t=12739
yue lai 	越來	c=1 d=1 t=13513
yue ling 	月齡	c=3 d=2.92654 t=15471
yue shao 	越少	c=1 d=1 t=13514
yue shi 	越是	c=1 d=1 t=4015
yue shu 	約束	c=7 d=1.2315 t=5653
yue yue 	月月	c=0 d=0.1 t=65
yue yue xin 	月月新	c=1 d=1 t=66
yun 	雲	c=0 d=0.11979 t=16785
yun ce 	暈測	c=1 d=1 t=806
yun dong 	運動	c=3 d=1.5886 t=6473
yun niang 	醞釀	c=1 d=1 t=17227
yun pan 	雲盤	c=1 d=1 t=16115
yun suan 	運算	c=2 d=1.45612 t=12151
yun tai 	雲臺	c=1 d=1 t=15231
yun wei 	運維	c=1 d=1 t=13814
yun wei 	韻味	c=1 d=1 t=13813
yun xing 	運行	c=7 d=1 t=13710
yun xing shi 	運行時	c=1 d=1 t=11416
yun xu 	允許	c=3 d=1.36325 t=4827
yun yan 	雲煙	c=1 d=1 t=1414
za 	雜	c=1 d=1 t=3082
za jiao 	雜交	c=1 d=1 t=6249
zai 	再	c=5 d=1 t=14303
zai 	在	c=174 d=4.03202 t=16850
zai jia 	在家	c=1 d=1 t=319
zai jian 	再見	c=2 d=1.98511 t=14793
zai kan kan 	再看看	c=1 d=1 t=13818
zai nan 	災難	c=1 d=0.937067 t=746
zai nan xing 	災難性	c=2 d=1.98511 t=11927
zai nei 	在內	c=1 d=1 t=11501
zai sheng 	再生	c=1 d=1 t=3616
zai wei 	在爲	c=1 d=1 t=314
zai xian 	在線	c=2 d=1.00018 t=16108
zai yi bian 	在一邊	c=1 d=1 t=5188
zai yu 	在於	c=5 d=1.38081 t=7055
zan shi 	暫時	c=5 d=1.00072 t=16779
zan tan 	讚歎	c=1 d=1 t=15629
zao cheng 	造成	c=1 d=1 t=3203
zao cuo 	早錯	c=1 d=1 t=4837
zao qi 	早期	c=1 d=1 t=16702
zao shang 	早上	c=1 d=1 t=1208
zao sheng 	噪聲	c=8 d=1.42109 t=6556
ze 	則	c=1 d=1 t=5556
ze ren 	責任	c=1 d=1 t=17266
zen 	怎	c=1 d=1 t=1378
zen sheng 	怎生	c=1 d=1 t=2503
zeng da 	增大	c=2 d=1 t=14118
zeng hua 	曾化	c=1 d=1 t=16171
zeng jia 	增加	c=31 d=1.02454 t=17402
